Observation,Checkpoint,Easy,Medium,Hard,Expert,Average,Gain since prior,Matched traces (E/M/H/X)
"PPO, pixels (CNN, dense, 2M)",500k,0.441151,0.217088,0.166493,0.141321,0.243243,,37/37/31/21
"PPO, pixels (CNN, dense, 2M)",1M,0.572799,0.281604,0.220604,0.181260,0.328756,0.085513,37/37/31/21
"PPO, pixels (CNN, dense, 2M)",1.5M,0.655623,0.312990,0.242456,0.208909,0.376925,0.048169,37/37/31/21
"PPO, pixels (CNN, dense, 2M)",2M,0.679163,0.339146,0.239334,0.208909,0.392546,0.015620,37/37/31/21
"PPO, grid-state vector (MLP, dense, 2M)",500k,0.224063,0.211857,0.185224,0.219662,0.192677,,37/37/31/21
"PPO, grid-state vector (MLP, dense, 2M)",1M,0.243243,0.224063,0.199792,0.245776,0.208442,0.015766,37/37/31/21
"PPO, grid-state vector (MLP, dense, 2M)",1.5M,0.251962,0.233653,0.218522,0.219662,0.214037,0.005594,37/37/31/21
"PPO, grid-state vector (MLP, dense, 2M)",2M,0.258936,0.241500,0.212279,0.233487,0.220139,0.006103,37/37/31/21
"PPO, ASCII (byte CNN, dense, 2M)",500k,0.274629,0.151700,0.120708,0.116743,0.161508,,37/37/31/21
"PPO, ASCII (byte CNN, dense, 2M)",1M,0.495205,0.272014,0.223725,0.210445,0.302892,0.141383,37/37/31/21
"PPO, ASCII (byte CNN, dense, 2M)",1.5M,0.523104,0.329555,0.240375,0.231951,0.336457,0.033566,37/37/31/21
"PPO, ASCII (byte CNN, dense, 2M)",2M,0.565824,0.368788,0.272633,0.225806,0.369369,0.032912,37/37/31/21
"PPO, natural language (byte CNN, dense, 2M)",500k,0.395815,0.287707,0.176899,0.208909,0.269180,,37/37/31/21
"PPO, natural language (byte CNN, dense, 2M)",1M,0.545772,0.336530,0.195630,0.198157,0.341761,0.072581,37/37/31/21
"PPO, natural language (byte CNN, dense, 2M)",1.5M,0.574542,0.359198,0.211238,0.207373,0.363775,0.022014,37/37/31/21
"PPO, natural language (byte CNN, dense, 2M)",2M,0.585004,0.356582,0.213319,0.185868,0.363702,-0.000073,37/37/31/21
